CharacteristicName,ResultValue,ResultSampleFraction
Total suspended solids,11,Non-Filterable (Particle)
Alkalinity_total,1860,Dissolved
Ammonia,14,"Filtered, field"
Calcium,26.7,Dissolved
Chloride,13.88,"Filtered, field"
Chlorophyll a,15.29,Total
Chlorophyll a,12.5,
Conductivity,293,Total
Inorganic carbon,1885,Dissolved
Iron,0,Dissolved
Magnesium,11.2,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,701,Dissolved
pH,8.28,
Potassium,2.6,Dissolved
Silica_reactive,0.69,Total
Silicon,,Suspended
Sodium,14.9,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,23.58,Dissolved
Total Nitrogen_mixed forms,355,Dissolved
Total Particulate Carbon,1300,Suspended
Total Particulate Nitrogen,478,Non-Filterable (Particle)
Total Particulate Phosphorus,70,Non-Filterable (Particle)
Total Phosphorus_mixed forms,6,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,1880,Dissolved
Ammonia,9,"Filtered, field"
Calcium,30.5,Dissolved
Chloride,10.08,"Filtered, field"
Chlorophyll a,3.43,Total
Chlorophyll a,2.32,
Conductivity,308,Total
Inorganic carbon,1995,Dissolved
Iron,0,Dissolved
Magnesium,12.6,Dissolved
Manganese,0,Dissolved
Nitrate,250,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,857,Dissolved
pH,8.45,
Potassium,3.35,Dissolved
Silica_reactive,2.48,Total
Silicon,,Suspended
Sodium,13,"Filtered, field"
Soluble Reactive Phosphorus (SRP),59,"Filtered, field"
Sulfate,37.72,Dissolved
Total Nitrogen_mixed forms,720,Dissolved
Total Particulate Carbon,860,Suspended
Total Particulate Nitrogen,95,Non-Filterable (Particle)
Total Particulate Phosphorus,26,Non-Filterable (Particle)
Total Phosphorus_mixed forms,77,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,23,Non-Filterable (Particle)
Alkalinity_total,1760,Dissolved
Ammonia,2,"Filtered, field"
Calcium,28.5,Dissolved
Chloride,8.85,"Filtered, field"
Chlorophyll a,4.09,Total
Chlorophyll a,2.42,
Conductivity,278,Total
Inorganic carbon,1844,Dissolved
Iron,0,Dissolved
Magnesium,11.3,Dissolved
Manganese,0,Dissolved
Nitrate,220,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,843,Dissolved
pH,8.44,
Potassium,3.05,Dissolved
Silica_reactive,2.37,Total
Silicon,,Suspended
Sodium,11.2,"Filtered, field"
Soluble Reactive Phosphorus (SRP),57,"Filtered, field"
Sulfate,32.63,Dissolved
Total Nitrogen_mixed forms,645,Dissolved
Total Particulate Carbon,1010,Suspended
Total Particulate Nitrogen,115,Non-Filterable (Particle)
Total Particulate Phosphorus,49,Non-Filterable (Particle)
Total Phosphorus_mixed forms,77,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,31,Non-Filterable (Particle)
Alkalinity_total,2830,Dissolved
Ammonia,14,"Filtered, field"
Calcium,41.8,Dissolved
Chloride,17.18,"Filtered, field"
Chlorophyll a,12.98,Total
Chlorophyll a,10.24,
Conductivity,466,Total
Inorganic carbon,2804,Dissolved
Iron,0,Dissolved
Magnesium,18.9,Dissolved
Manganese,0,Dissolved
Nitrate,370,"Filtered, field"
Nitrite,5,"Filtered, field"
Organic carbon,931,Dissolved
pH,8.43,
Potassium,5.6,Dissolved
Silica_reactive,4.57,Total
Silicon,,Suspended
Sodium,22.6,"Filtered, field"
Soluble Reactive Phosphorus (SRP),107,"Filtered, field"
Sulfate,52.79,Dissolved
Total Nitrogen_mixed forms,925,Dissolved
Total Particulate Carbon,1780,Suspended
Total Particulate Nitrogen,237,Non-Filterable (Particle)
Total Particulate Phosphorus,50,Non-Filterable (Particle)
Total Phosphorus_mixed forms,112,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,40,Non-Filterable (Particle)
Alkalinity_total,1990,Dissolved
Ammonia,5,"Filtered, field"
Calcium,30.8,Dissolved
Chloride,,"Filtered, field"
Chlorophyll a,3.64,Total
Chlorophyll a,2.42,
Conductivity,309,Total
Inorganic carbon,1980,Dissolved
Iron,0,Dissolved
Magnesium,12.4,Dissolved
Manganese,0,Dissolved
Nitrate,240,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,855,Dissolved
pH,8.34,
Potassium,3.4,Dissolved
Silica_reactive,2.3,Total
Silicon,,Suspended
Sodium,12.6,"Filtered, field"
Soluble Reactive Phosphorus (SRP),55,"Filtered, field"
Sulfate,,Dissolved
Total Nitrogen_mixed forms,660,Dissolved
Total Particulate Carbon,700,Suspended
Total Particulate Nitrogen,82,Non-Filterable (Particle)
Total Particulate Phosphorus,20,Non-Filterable (Particle)
Total Phosphorus_mixed forms,71,Dissolved
Total suspended solids,53,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,1770,Dissolved
Ammonia,7,"Filtered, field"
Calcium,27,Dissolved
Chloride,15.3,"Filtered, field"
Chlorophyll a,4.96,Total
Chlorophyll a,4.37,
Conductivity,264,Total
Inorganic carbon,1518,Dissolved
Iron,0,Dissolved
Magnesium,10.5,Dissolved
Manganese,0,Dissolved
Nitrate,194,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,881,Dissolved
pH,8.37,
Potassium,3.01,Dissolved
Silica_reactive,2.43,Total
Silicon,,Suspended
Sodium,10.2,"Filtered, field"
Soluble Reactive Phosphorus (SRP),46,"Filtered, field"
Sulfate,26.95,Dissolved
Total Nitrogen_mixed forms,630,Dissolved
Total Particulate Carbon,1170,Suspended
Total Particulate Nitrogen,157,Non-Filterable (Particle)
Total Particulate Phosphorus,40,Non-Filterable (Particle)
Total Phosphorus_mixed forms,63,Dissolved
Total suspended solids,30,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,2020,Dissolved
Ammonia,9,"Filtered, field"
Calcium,29,Dissolved
Chloride,16.4,"Filtered, field"
Chlorophyll a,14.09,Total
Chlorophyll a,12.46,
Conductivity,329,Total
Inorganic carbon,1989,Dissolved
Iron,0,Dissolved
Magnesium,11.9,Dissolved
Manganese,0,Dissolved
Nitrate,5,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,642,Dissolved
pH,8.36,
Potassium,2.65,Dissolved
Silica_reactive,0.75,Total
Silicon,,Suspended
Sodium,16.5,"Filtered, field"
Soluble Reactive Phosphorus (SRP),6,"Filtered, field"
Sulfate,28.12,Dissolved
Total Nitrogen_mixed forms,355,Dissolved
Total Particulate Carbon,880,Suspended
Total Particulate Nitrogen,160,Non-Filterable (Particle)
Total Particulate Phosphorus,18,Non-Filterable (Particle)
Total Phosphorus_mixed forms,11,Dissolved
Total suspended solids,4,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,2080,Dissolved
Ammonia,46,"Filtered, field"
Calcium,29.4,Dissolved
Chloride,15.13,"Filtered, field"
Chlorophyll a,12.98,Total
Chlorophyll a,11,
Conductivity,325,Total
Inorganic carbon,2117,Dissolved
Iron,0,Dissolved
Magnesium,12.3,Dissolved
Manganese,0,Dissolved
Nitrate,3,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,645,Dissolved
pH,8.29,
Potassium,2.62,Dissolved
Silica_reactive,0.8,Total
Silicon,,Suspended
Sodium,16.5,"Filtered, field"
Soluble Reactive Phosphorus (SRP),6,"Filtered, field"
Sulfate,26.54,Dissolved
Total Nitrogen_mixed forms,345,Dissolved
Total Particulate Carbon,1250,Suspended
Total Particulate Nitrogen,213,Non-Filterable (Particle)
Total Particulate Phosphorus,24,Non-Filterable (Particle)
Total Phosphorus_mixed forms,11,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,6,Non-Filterable (Particle)
Alkalinity_total,2140,Dissolved
Ammonia,32,"Filtered, field"
Calcium,30.4,Dissolved
Chloride,15.23,"Filtered, field"
Chlorophyll a,7.28,Total
Chlorophyll a,5.79,
Conductivity,333,Total
Inorganic carbon,2123,Dissolved
Iron,0,Dissolved
Magnesium,12.5,Dissolved
Manganese,0,Dissolved
Nitrate,2,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,612,Dissolved
pH,8.3,
Potassium,2.61,Dissolved
Silica_reactive,0.87,Total
Silicon,,Suspended
Sodium,17.2,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,27.87,Dissolved
Total Nitrogen_mixed forms,370,Dissolved
Total Particulate Carbon,1400,Suspended
Total Particulate Nitrogen,192,Non-Filterable (Particle)
Total Particulate Phosphorus,19,Non-Filterable (Particle)
Total Phosphorus_mixed forms,41,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,7,Non-Filterable (Particle)
Alkalinity_total,2010,Dissolved
Ammonia,18,"Filtered, field"
Calcium,28.6,Dissolved
Chloride,14.86,"Filtered, field"
Chlorophyll a,11.68,Total
Chlorophyll a,9.63,
Conductivity,316,Total
Inorganic carbon,1994,Dissolved
Iron,0,Dissolved
Magnesium,12,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,619,Dissolved
pH,8.18,
Potassium,2.6,Dissolved
Silica_reactive,0.24,Total
Silicon,,Suspended
Sodium,16.3,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,25.16,Dissolved
Total Nitrogen_mixed forms,,Dissolved
Total Particulate Carbon,1250,Suspended
Total Particulate Nitrogen,170,Non-Filterable (Particle)
Total Particulate Phosphorus,18,Non-Filterable (Particle)
Total Phosphorus_mixed forms,6,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,2,Non-Filterable (Particle)
Alkalinity_total,1840,Dissolved
Ammonia,27,"Filtered, field"
Calcium,26.5,Dissolved
Chloride,16.95,"Filtered, field"
Chlorophyll a,3.98,Total
Chlorophyll a,2.81,
Conductivity,304,Total
Inorganic carbon,1841,Dissolved
Iron,0,Dissolved
Magnesium,11.5,Dissolved
Manganese,0,Dissolved
Nitrate,13,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,672,Dissolved
pH,8.36,
Potassium,2.7,Dissolved
Silica_reactive,1,Total
Silicon,,Suspended
Sodium,17,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,23.81,Dissolved
Total Nitrogen_mixed forms,375,Dissolved
Total Particulate Carbon,470,Suspended
Total Particulate Nitrogen,64,Non-Filterable (Particle)
Total Particulate Phosphorus,10,Non-Filterable (Particle)
Total Phosphorus_mixed forms,21,Dissolved
Total suspended solids,7,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,1470,Dissolved
Ammonia,32,"Filtered, field"
Calcium,21.9,Dissolved
Chloride,8.39,"Filtered, field"
Chlorophyll a,4.79,Total
Chlorophyll a,3.78,
Conductivity,227,Total
Inorganic carbon,1459,Dissolved
Iron,0,Dissolved
Magnesium,8.8,Dissolved
Manganese,0,Dissolved
Nitrate,44,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,754,Dissolved
pH,8.33,
Potassium,2.28,Dissolved
Silica_reactive,0.95,Total
Silicon,,Suspended
Sodium,9.75,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,17.79,Dissolved
Total Nitrogen_mixed forms,420,Dissolved
Total Particulate Carbon,580,Suspended
Total Particulate Nitrogen,76,Non-Filterable (Particle)
Total Particulate Phosphorus,13,Non-Filterable (Particle)
Total Phosphorus_mixed forms,28,Dissolved
Total suspended solids,8,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,1490,Dissolved
Ammonia,14,"Filtered, field"
Calcium,22.3,Dissolved
Chloride,,"Filtered, field"
Chlorophyll a,2.65,Total
Chlorophyll a,1.99,
Conductivity,219,Total
Inorganic carbon,1450,Dissolved
Iron,0,Dissolved
Magnesium,8.7,Dissolved
Manganese,0,Dissolved
Nitrate,123,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,786,Dissolved
pH,8.28,
Potassium,2.6,Dissolved
Silica_reactive,1.46,Total
Silicon,,Suspended
Sodium,7.85,"Filtered, field"
Soluble Reactive Phosphorus (SRP),28,"Filtered, field"
Sulfate,,Dissolved
Total Nitrogen_mixed forms,565,Dissolved
Total Particulate Carbon,1090,Suspended
Total Particulate Nitrogen,127,Non-Filterable (Particle)
Total Particulate Phosphorus,31,Non-Filterable (Particle)
Total Phosphorus_mixed forms,46,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,1750,Dissolved
Ammonia,9,"Filtered, field"
Calcium,27.6,Dissolved
Chloride,13.95,"Filtered, field"
Chlorophyll a,1.66,Total
Chlorophyll a,1.05,
Conductivity,284,Total
Inorganic carbon,1815,Dissolved
Iron,0,Dissolved
Magnesium,11.5,Dissolved
Manganese,0,Dissolved
Nitrate,182,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,868,Dissolved
pH,8.41,
Potassium,3.06,Dissolved
Silica_reactive,2.15,Total
Silicon,0,Suspended
Sodium,12.7,"Filtered, field"
Soluble Reactive Phosphorus (SRP),49,"Filtered, field"
Sulfate,53.55,Dissolved
Total Nitrogen_mixed forms,665,Dissolved
Total Particulate Carbon,850,Suspended
Total Particulate Nitrogen,102,Non-Filterable (Particle)
Total Particulate Phosphorus,1,Non-Filterable (Particle)
Total Phosphorus_mixed forms,69,Dissolved
Total suspended solids,22,Non-Filterable (Particle)
Total suspended solids,17,Non-Filterable (Particle)
Alkalinity_total,1400,Dissolved
Ammonia,18,"Filtered, field"
Calcium,21.5,Dissolved
Chloride,5.06,"Filtered, field"
Chlorophyll a,3.03,Total
Chlorophyll a,2.28,
Conductivity,211,Total
Inorganic carbon,1388,Dissolved
Iron,0,Dissolved
Magnesium,8.3,Dissolved
Manganese,0,Dissolved
Nitrate,143,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,816,Dissolved
pH,8.31,
Potassium,2.37,Dissolved
Silica_reactive,1.37,Total
Silicon,,Suspended
Sodium,7.55,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,17.71,Dissolved
Total Nitrogen_mixed forms,550,Dissolved
Total Particulate Carbon,850,Suspended
Total Particulate Nitrogen,108,Non-Filterable (Particle)
Total Particulate Phosphorus,23,Non-Filterable (Particle)
Total Phosphorus_mixed forms,,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,2530,Dissolved
Ammonia,14,"Filtered, field"
Calcium,27.4,Dissolved
Chloride,6.04,"Filtered, field"
Chlorophyll a,10.45,Total
Chlorophyll a,8.16,
Conductivity,,Total
Inorganic carbon,1848,Dissolved
Iron,0,Dissolved
Magnesium,11.7,Dissolved
Manganese,0,Dissolved
Nitrate,178,"Filtered, field"
Nitrite,3,"Filtered, field"
Organic carbon,897,Dissolved
pH,,
Potassium,3.3,Dissolved
Silica_reactive,,Total
Silicon,0,Suspended
Sodium,13.4,"Filtered, field"
Soluble Reactive Phosphorus (SRP),48,"Filtered, field"
Sulfate,17.95,Dissolved
Total Nitrogen_mixed forms,690,Dissolved
Total Particulate Carbon,1700,Suspended
Total Particulate Nitrogen,245,Non-Filterable (Particle)
Total Particulate Phosphorus,48,Non-Filterable (Particle)
Total Phosphorus_mixed forms,74,Dissolved
Total suspended solids,32,Non-Filterable (Particle)
Total suspended solids,26,Non-Filterable (Particle)
Alkalinity_total,2020,Dissolved
Ammonia,4,"Filtered, field"
Calcium,29.3,Dissolved
Chloride,17.68,"Filtered, field"
Chlorophyll a,5.06,Total
Chlorophyll a,4.53,
Conductivity,323,Total
Inorganic carbon,2085,Dissolved
Iron,0,Dissolved
Magnesium,12.2,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,745,Dissolved
pH,8.35,
Potassium,2.79,Dissolved
Silica_reactive,0.37,Total
Silicon,310,Suspended
Sodium,17.6,"Filtered, field"
Soluble Reactive Phosphorus (SRP),3,"Filtered, field"
Sulfate,27.82,Dissolved
Total Nitrogen_mixed forms,365,Dissolved
Total Particulate Carbon,720,Suspended
Total Particulate Nitrogen,140,Non-Filterable (Particle)
Total Particulate Phosphorus,18,Non-Filterable (Particle)
Total Phosphorus_mixed forms,9,Dissolved
Total suspended solids,13,Non-Filterable (Particle)
Total suspended solids,9,Non-Filterable (Particle)
Alkalinity_total,2030,Dissolved
Ammonia,,"Filtered, field"
Calcium,30,Dissolved
Chloride,17.97,"Filtered, field"
Chlorophyll a,3.53,Total
Chlorophyll a,2.92,
Conductivity,318,Total
Inorganic carbon,2020,Dissolved
Iron,0,Dissolved
Magnesium,12.3,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,595,Dissolved
pH,8.3,
Potassium,2.68,Dissolved
Silica_reactive,0.46,Total
Silicon,284,Suspended
Sodium,17.1,"Filtered, field"
Soluble Reactive Phosphorus (SRP),7,"Filtered, field"
Sulfate,27.7,Dissolved
Total Nitrogen_mixed forms,375,Dissolved
Total Particulate Carbon,660,Suspended
Total Particulate Nitrogen,103,Non-Filterable (Particle)
Total Particulate Phosphorus,14,Non-Filterable (Particle)
Total Phosphorus_mixed forms,13,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,3,Non-Filterable (Particle)
Alkalinity_total,1860,Dissolved
Ammonia,9,"Filtered, field"
Calcium,26.7,Dissolved
Chloride,17.45,"Filtered, field"
Chlorophyll a,7.71,Total
Chlorophyll a,7.74,
Conductivity,295,Total
Inorganic carbon,1860,Dissolved
Iron,0,Dissolved
Magnesium,11.3,Dissolved
Manganese,0,Dissolved
Nitrate,44,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,795,Dissolved
pH,8.3,
Potassium,2.61,Dissolved
Silica_reactive,0.45,Total
Silicon,345,Suspended
Sodium,15.9,"Filtered, field"
Soluble Reactive Phosphorus (SRP),8,"Filtered, field"
Sulfate,23.86,Dissolved
Total Nitrogen_mixed forms,435,Dissolved
Total Particulate Carbon,740,Suspended
Total Particulate Nitrogen,113,Non-Filterable (Particle)
Total Particulate Phosphorus,13,Non-Filterable (Particle)
Total Phosphorus_mixed forms,14,Dissolved
Total suspended solids,6,Non-Filterable (Particle)
Total suspended solids,2,Non-Filterable (Particle)
Alkalinity_total,1490,Dissolved
Ammonia,14,"Filtered, field"
Calcium,23.2,Dissolved
Chloride,6.2,"Filtered, field"
Chlorophyll a,4.58,Total
Chlorophyll a,3.85,
Conductivity,210,Total
Inorganic carbon,1529,Dissolved
Iron,0,Dissolved
Magnesium,8.5,Dissolved
Manganese,0,Dissolved
Nitrate,163,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,909,Dissolved
pH,8.38,
Potassium,2.38,Dissolved
Silica_reactive,2.06,Total
Silicon,,Suspended
Sodium,7.7,"Filtered, field"
Soluble Reactive Phosphorus (SRP),37,"Filtered, field"
Sulfate,20.06,Dissolved
Total Nitrogen_mixed forms,580,Dissolved
Total Particulate Carbon,1320,Suspended
Total Particulate Nitrogen,166,Non-Filterable (Particle)
Total Particulate Phosphorus,49,Non-Filterable (Particle)
Total Phosphorus_mixed forms,53,Dissolved
Total suspended solids,28,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,2430,Dissolved
Ammonia,,"Filtered, field"
Calcium,39.2,Dissolved
Chloride,12.66,"Filtered, field"
Chlorophyll a,4.21,Total
Chlorophyll a,3.62,
Conductivity,395,Total
Inorganic carbon,2454,Dissolved
Iron,0,Dissolved
Magnesium,16.2,Dissolved
Manganese,0,Dissolved
Nitrate,51,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,824,Dissolved
pH,8.5,
Potassium,4.55,Dissolved
Silica_reactive,2.54,Total
Silicon,,Suspended
Sodium,17.8,"Filtered, field"
Soluble Reactive Phosphorus (SRP),68,"Filtered, field"
Sulfate,49.1,Dissolved
Total Nitrogen_mixed forms,730,Dissolved
Total Particulate Carbon,680,Suspended
Total Particulate Nitrogen,96,Non-Filterable (Particle)
Total Particulate Phosphorus,20,Non-Filterable (Particle)
Total Phosphorus_mixed forms,84,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,23,Non-Filterable (Particle)
Alkalinity_total,960,Dissolved
Ammonia,4,"Filtered, field"
Calcium,14.6,Dissolved
Chloride,0.11,"Filtered, field"
Chlorophyll a,4.12,Total
Chlorophyll a,2.98,
Conductivity,114,Total
Inorganic carbon,951,Dissolved
Iron,0,Dissolved
Magnesium,4.4,Dissolved
Manganese,0,Dissolved
Nitrate,66,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,986,Dissolved
pH,8.44,
Potassium,1.34,Dissolved
Silica_reactive,1.4,Total
Silicon,,Suspended
Sodium,2.83,"Filtered, field"
Soluble Reactive Phosphorus (SRP),15,"Filtered, field"
Sulfate,5.96,Dissolved
Total Nitrogen_mixed forms,470,Dissolved
Total Particulate Carbon,1510,Suspended
Total Particulate Nitrogen,183,Non-Filterable (Particle)
Total Particulate Phosphorus,55,Non-Filterable (Particle)
Total Phosphorus_mixed forms,30,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,880,Dissolved
Ammonia,2,"Filtered, field"
Calcium,13.1,Dissolved
Chloride,2.68,"Filtered, field"
Chlorophyll a,7.89,Total
Chlorophyll a,6.16,
Conductivity,104,Total
Inorganic carbon,905,Dissolved
Iron,0,Dissolved
Magnesium,3.8,Dissolved
Manganese,0,Dissolved
Nitrate,24,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,951,Dissolved
pH,8.26,
Potassium,1.02,Dissolved
Silica_reactive,1.08,Total
Silicon,,Suspended
Sodium,2.33,"Filtered, field"
Soluble Reactive Phosphorus (SRP),8,"Filtered, field"
Sulfate,3.63,Dissolved
Total Nitrogen_mixed forms,410,Dissolved
Total Particulate Carbon,910,Suspended
Total Particulate Nitrogen,111,Non-Filterable (Particle)
Total Particulate Phosphorus,22,Non-Filterable (Particle)
Total Phosphorus_mixed forms,19,Dissolved
Total suspended solids,24,Non-Filterable (Particle)
Total suspended solids,14,Non-Filterable (Particle)
Alkalinity_total,880,Dissolved
Ammonia,4,"Filtered, field"
Calcium,12.6,Dissolved
Chloride,1.53,"Filtered, field"
Chlorophyll a,,Total
Chlorophyll a,,
Conductivity,100,Total
Inorganic carbon,879,Dissolved
Iron,0,Dissolved
Magnesium,3.7,Dissolved
Manganese,0,Dissolved
Nitrate,17,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,907,Dissolved
pH,8.22,
Potassium,0.96,Dissolved
Silica_reactive,0.87,Total
Silicon,,Suspended
Sodium,2.39,"Filtered, field"
Soluble Reactive Phosphorus (SRP),3,"Filtered, field"
Sulfate,3.74,Dissolved
Total Nitrogen_mixed forms,410,Dissolved
Total Particulate Carbon,700,Suspended
Total Particulate Nitrogen,88,Non-Filterable (Particle)
Total Particulate Phosphorus,16,Non-Filterable (Particle)
Total Phosphorus_mixed forms,14,Dissolved
Total suspended solids,55,Non-Filterable (Particle)
Total suspended solids,11,Non-Filterable (Particle)
Alkalinity_total,,Dissolved
Ammonia,,"Filtered, field"
Calcium,,Dissolved
Chloride,,"Filtered, field"
Chlorophyll a,,Total
Chlorophyll a,,
Conductivity,,Total
Inorganic carbon,,Dissolved
Iron,0,Dissolved
Magnesium,,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,,Dissolved
pH,,
Potassium,,Dissolved
Silica_reactive,,Total
Silicon,0,Suspended
Sodium,,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,,Dissolved
Total Nitrogen_mixed forms,,Dissolved
Total Particulate Carbon,,Suspended
Total Particulate Nitrogen,,Non-Filterable (Particle)
Total Particulate Phosphorus,,Non-Filterable (Particle)
Total Phosphorus_mixed forms,,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,1960,Dissolved
Ammonia,14,"Filtered, field"
Calcium,30.5,Dissolved
Chloride,9.48,"Filtered, field"
Chlorophyll a,6.19,Total
Chlorophyll a,5.15,
Conductivity,311,Total
Inorganic carbon,1947,Dissolved
Iron,0,Dissolved
Magnesium,12.5,Dissolved
Manganese,0,Dissolved
Nitrate,250,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,814,Dissolved
pH,8.4,
Potassium,3.65,Dissolved
Silica_reactive,2.36,Total
Silicon,,Suspended
Sodium,13.1,"Filtered, field"
Soluble Reactive Phosphorus (SRP),52,"Filtered, field"
Sulfate,34.49,Dissolved
Total Nitrogen_mixed forms,725,Dissolved
Total Particulate Carbon,860,Suspended
Total Particulate Nitrogen,114,Non-Filterable (Particle)
Total Particulate Phosphorus,,Non-Filterable (Particle)
Total Phosphorus_mixed forms,71,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,24,Non-Filterable (Particle)
Alkalinity_total,1850,Dissolved
Ammonia,7,"Filtered, field"
Calcium,28.9,Dissolved
Chloride,8.68,"Filtered, field"
Chlorophyll a,2.87,Total
Chlorophyll a,2.26,
Conductivity,,Total
Inorganic carbon,1805,Dissolved
Iron,0,Dissolved
Magnesium,11.5,Dissolved
Manganese,0,Dissolved
Nitrate,230,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,800,Dissolved
pH,,
Potassium,3.4,Dissolved
Silica_reactive,,Total
Silicon,,Suspended
Sodium,11.9,"Filtered, field"
Soluble Reactive Phosphorus (SRP),51,"Filtered, field"
Sulfate,30.58,Dissolved
Total Nitrogen_mixed forms,655,Dissolved
Total Particulate Carbon,820,Suspended
Total Particulate Nitrogen,113,Non-Filterable (Particle)
Total Particulate Phosphorus,21,Non-Filterable (Particle)
Total Phosphorus_mixed forms,67,Dissolved
Total suspended solids,18,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,1410,Dissolved
Ammonia,16,"Filtered, field"
Calcium,21.5,Dissolved
Chloride,5.66,"Filtered, field"
Chlorophyll a,2.71,Total
Chlorophyll a,2.03,
Conductivity,209,Total
Inorganic carbon,1455,Dissolved
Iron,0,Dissolved
Magnesium,8.2,Dissolved
Manganese,0,Dissolved
Nitrate,142,"Filtered, field"
Nitrite,7,"Filtered, field"
Organic carbon,820,Dissolved
pH,8.33,
Potassium,2.6,Dissolved
Silica_reactive,1.8,Total
Silicon,,Suspended
Sodium,8,"Filtered, field"
Soluble Reactive Phosphorus (SRP),33,"Filtered, field"
Sulfate,18.01,Dissolved
Total Nitrogen_mixed forms,580,Dissolved
Total Particulate Carbon,890,Suspended
Total Particulate Nitrogen,139,Non-Filterable (Particle)
Total Particulate Phosphorus,24,Non-Filterable (Particle)
Total Phosphorus_mixed forms,48,Dissolved
Total suspended solids,12,Non-Filterable (Particle)
Total suspended solids,17,Non-Filterable (Particle)
Alkalinity_total,1460,Dissolved
Ammonia,14,"Filtered, field"
Calcium,21.5,Dissolved
Chloride,5.45,"Filtered, field"
Chlorophyll a,3.04,Total
Chlorophyll a,2.5,
Conductivity,216,Total
Inorganic carbon,1455,Dissolved
Iron,0,Dissolved
Magnesium,8.3,Dissolved
Manganese,0,Dissolved
Nitrate,116,"Filtered, field"
